Solução Ótima:
Vértice 1: Casa
Vértice 2: Fábrica
Vértice 3: Casa
Vértice 4: Casa
Vértice 5: Casa
Vértice 6: Casa
Vértice 7: Casa
Vértice 8: Casa
Vértice 9: Casa
Vértice 10: Fábrica
Vértice 11: Casa
Vértice 12: Casa
Vértice 13: Casa
Vértice 14: Fábrica
Vértice 15: Parque
Vértice 16: Casa
Vértice 17: Fábrica
Vértice 18: Casa
Vértice 19: Fábrica
Vértice 20: Casa
Vértice 21: Parque
Vértice 22: Casa
Vértice 23: Casa
Vértice 24: Fábrica
Vértice 25: Fábrica
Vértice 26: Casa
Vértice 27: Parque
Vértice 28: Fábrica
Vértice 29: Parque
Vértice 30: Fábrica
Vértice 31: Casa
Vértice 32: Casa
Vértice 33: Casa
Vértice 34: Parque
Vértice 35: Casa
Vértice 36: Fábrica
Vértice 37: Casa
Vértice 38: Fábrica
Vértice 39: Casa
Vértice 40: Parque

Custo Total: 876800
Habitantes: 23
Felicidade: 1.0
Lucro: 38.0
